appID,name,free_to_play,price,required_age,developers,publishers,genres,release_date
438110,CV Maker for Windows,False,19.99,0,Individual Software,Individual Software,Education,"26 Jan, 2016"
438130,Root Double -Before Crime * After Days- Xtend Edition,False,31.99,0,Yeti-Regista,Sekai Project,Adventure,"27 Apr, 2016"
438140,Star Realms,True,0.0,0,White Wizard Games,White Wizard Games,Strategy,"8 Mar, 2016"
438160,LILT,False,4.99,0,pho,pho,Action-Casual-Indie-Early Access,"28 Jan, 2016"
438180,Super Mustache,False,0.99,0,Redro Games,Back To Basics Gaming,Action-Adventure-Casual-Indie,"27 Jan, 2016"
438210,MULE Returns,False,0.0,0,Kotori Studios Ltd,Comma 8 Studios,Indie-Simulation-Strategy,
438220,Castle Heist: Chapter 1,False,2.99,0,"Gustav ""Goffa"" Söderström",GoffaGames,Action-Adventure-Indie,"5 May, 2016"
438240,Corpo Tale,False,4.99,0,hamstercube,Gindie,RPG,"6 Aug, 2016"
438260,Rewind,False,8.99,0,Stubborn Horse Studios,Stubborn Horse Studios,Indie,"31 Mar, 2016"
438270,Learn Japanese To Survive! Hiragana Battle,False,5.99,0,Sleepy Duck,Sleepy Duck,Adventure-Indie-RPG,"16 Feb, 2016"
438300,Shepherds of the Abyss,False,5.99,0,Impulse Games,Impulse Games,Action-Indie-RPG-Strategy,"18 Nov, 2016"
438310,SCORE,False,4.99,0,TecEh! Studios,,Action-Simulation-Sports-Early Access,"5 Jul, 2016"
438320,Rush Rover,False,4.99,0,radio,radio-indienova,Action-Adventure-Indie,"29 Nov, 2017"
438340,Drizzlepath: Genie,False,7.99,0,Tonguç Bodur,Tonguç Bodur,Adventure-Casual-Indie,"22 Feb, 2016"
438350,Dynetzzle Extended,False,0.99,0,Vishnu Vadakke Pariyarath,Vishnu Vadakke Pariyarath,Casual-Indie,"15 Mar, 2016"
438360,Infinitesimal Point,False,3.99,0,Small Room Games,Small Room Games,Action-Indie,"3 Feb, 2016"
438420,Zenith,False,12.99,0,Infinigon,BadLand Publishing,Adventure-Indie-RPG,"20 Sep, 2016"
438430,Valentino Rossi The Game,False,19.99,0,Milestone S.r.l.,Milestone S.r.l.,Racing-Simulation-Sports,"16 Jun, 2016"
438440,Star Rogue,False,6.59,0,Wehrmann Studios,Wehrmann Studios,Action-Indie-Early Access,"1 Feb, 2016"
438450,3DF Zephyr Lite Steam Edition,False,169.99,0,3Dflow SRL,3Dflow SRL,Animation & Modeling-Design & Illustration-Video Production,"2 Feb, 2016"
438460,ARENA 3D,False,2.99,0,Mike Bushell,MB2 Entertainment,Action-Casual-Indie-Early Access,"7 Feb, 2018"
438480,Rock 'N' Roll Defense,False,0.79,0,NukGames,NukGames,Action-Adventure-Casual-Strategy,"10 Aug, 2016"
